"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"140","tt0094890","Sat Feb 11 14:42:52 2012","Sat Feb 11 14:42:52 2012","","Cocoon: The Return","Feature Film","Daniel Petrie","5.2","116","1988","adventure, comedy, mystery, romance, sci_fi","10889","1988-11-23","http://www.imdb.com/title/tt0094890/"
"141","tt0096754","Sat Feb 11 14:43:09 2012","Sat Feb 11 14:43:09 2012","","The Abyss","Feature Film","James Cameron","7.6","139","1989","adventure, drama, sci_fi, thriller","118093","1989-08-09","http://www.imdb.com/title/tt0096754/"
"142","tt0088011","Sat Feb 11 14:02:40 2012","Sat Feb 11 14:02:40 2012","","Romancing the Stone","Feature Film","Robert Zemeckis","6.9","106","1984","action, adventure, comedy, romance","57404","1984-03-30","http://www.imdb.com/title/tt0088011/"
"143","tt0831887","Sat Feb 11 14:01:10 2012","Sat Feb 11 14:01:10 2012","","The Spirit","Feature Film","Frank Miller","4.8","103","2008","action, crime, fantasy, thriller","51281","2008-12-25","http://www.imdb.com/title/tt0831887/"
"144","tt0088000","Sat Feb 11 14:43:24 2012","Sat Feb 11 14:43:24 2012","","Revenge of the Nerds","Feature Film","Jeff Kanew","6.6","90","1984","comedy","36260","1984-08-10","http://www.imdb.com/title/tt0088000/"
"145","tt0093857","Sat Feb 11 14:43:35 2012","Sat Feb 11 14:43:35 2012","","Revenge of the Nerds II: Nerds in Paradise","Feature Film","Joe Roth","4.8","88","1987","comedy","9643","1987-07-10","http://www.imdb.com/title/tt0093857/"
"146","tt0311429","Sat Feb 11 14:44:23 2012","Sat Feb 11 14:44:23 2012","","The League of Extraordinary Gentlemen","Feature Film","Stephen Norrington","5.8","110","2003","action, adventure, fantasy, sci_fi","128482","2003-07-11","http://www.imdb.com/title/tt0311429/"
"147","tt0338526","Sat Feb 11 14:44:34 2012","Sat Feb 11 14:44:34 2012","","Van Helsing","Feature Film","Stephen Sommers","6.0","131","2004","action, adventure, fantasy, mystery, thriller","168851","2004-05-03","http://www.imdb.com/title/tt0338526/"
"148","tt0320691","Sat Feb 11 14:44:54 2012","Sat Feb 11 14:44:54 2012","","Underworld","Feature Film","Len Wiseman","7.0","121","2003","action, fantasy, thriller","186102","2003-09-08","http://www.imdb.com/title/tt0320691/"
"149","tt0401855","Sat Feb 11 14:45:08 2012","Sat Feb 11 14:45:08 2012","","Underworld: Evolution","Feature Film","Len Wiseman","6.8","106","2006","action, fantasy, sci_fi, thriller","139413","2006-01-12","http://www.imdb.com/title/tt0401855/"
"150","tt0834001","Sat Feb 11 14:45:24 2012","Sat Feb 11 14:45:24 2012","","Underworld: Rise of the Lycans","Feature Film","Patrick Tatopoulos","6.6","92","2009","action, adventure, fantasy, sci_fi, thriller","104668","2009-01-22","http://www.imdb.com/title/tt0834001/"
"151","tt1496025","Sat Feb 11 14:45:38 2012","Sat Feb 11 14:45:38 2012","","Underworld: Awakening","Feature Film","Mårlind, Stein","6.4","88","2012","action, fantasy, horror","102799","2012-01-19","http://www.imdb.com/title/tt1496025/"
"152","tt0370032","Sat Feb 11 14:45:50 2012","Sat Feb 11 14:45:50 2012","","Ultraviolet","Feature Film","Kurt Wimmer","4.4","88","2006","action, sci_fi","66288","2006-03-03","http://www.imdb.com/title/tt0370032/"
"153","tt0146316","Sat Feb 11 14:46:03 2012","Sat Feb 11 14:46:03 2012","","Lara Croft: Tomb Raider","Feature Film","Simon West","5.7","100","2001","action, adventure, fantasy, thriller","139905","2001-06-11","http://www.imdb.com/title/tt0146316/"
"154","tt0325703","Sat Feb 11 14:46:16 2012","Sat Feb 11 14:46:16 2012","","Lara Croft Tomb Raider: The Cradle of Life","Feature Film","Jan de Bont","5.5","117","2003","action, adventure, fantasy, thriller","90895","2003-07-21","http://www.imdb.com/title/tt0325703/"
"155","tt0072431","Sat Feb 11 14:46:58 2012","Sat Feb 11 14:46:58 2012","","Young Frankenstein","Feature Film","Mel Brooks","8.1","106","1974","comedy","102238","1974-12-15","http://www.imdb.com/title/tt0072431/"
"156","tt0120611","Sat Feb 11 14:47:32 2012","Sat Feb 11 14:47:32 2012","","Blade","Feature Film","Stephen Norrington","7.1","120","1998","action, horror","167196","1998-08-19","http://www.imdb.com/title/tt0120611/"
"157","tt0187738","Sat Feb 11 14:47:45 2012","Sat Feb 11 14:47:45 2012","","Blade II","Feature Film","Guillermo del Toro","6.7","117","2002","action, horror, sci_fi, thriller","138155","2002-03-21","http://www.imdb.com/title/tt0187738/"
"158","tt0359013","Sat Feb 11 14:47:56 2012","Sat Feb 11 14:47:56 2012","","Blade: Trinity","Feature Film","David S. Goyer","5.9","113","2004","action, adventure, fantasy, horror, sci_fi, thriller","115906","2004-12-07","http://www.imdb.com/title/tt0359013/"
"159","tt0089886","Sat Feb 11 14:49:43 2012","Sat Feb 11 14:49:43 2012","","Real Genius","Feature Film","Martha Coolidge","7.0","108","1985","comedy, romance, sci_fi","21273","1985-08-07","http://www.imdb.com/title/tt0089886/"
"160","tt0090305","Sat Feb 11 14:49:52 2012","Sat Feb 11 14:49:52 2012","","Weird Science","Feature Film","John Hughes","6.6","94","1985","comedy, fantasy, romance","52491","1985-08-02","http://www.imdb.com/title/tt0090305/"
"161","tt0079501","Sat Feb 11 14:50:39 2012","Sat Feb 11 14:50:39 2012","","Mad Max","Feature Film","George Miller","7.0","88","1979","action, adventure, thriller","111060","1979-04-12","http://www.imdb.com/title/tt0079501/"
"162","tt0082694","Sat Feb 11 14:50:47 2012","Sat Feb 11 14:50:47 2012","","Mad Max 2: The Road Warrior","Feature Film","George Miller","7.6","95","1981","action, adventure, thriller","98600","1981-12-24","http://www.imdb.com/title/tt0082694/"
"163","tt0093437","Sat Feb 11 14:51:18 2012","Sat Feb 11 14:51:18 2012","","The Lost Boys","Feature Film","Joel Schumacher","7.2","97","1987","comedy, horror","82386","1987-07-31","http://www.imdb.com/title/tt0093437/"
"164","tt0094721","Sat Feb 11 14:51:27 2012","Sat Feb 11 14:51:27 2012","","Beetlejuice","Feature Film","Tim Burton","7.4","92","1988","comedy","162148","1988-03-29","http://www.imdb.com/title/tt0094721/"
"165","tt0089469","Sat Feb 11 14:51:42 2012","Sat Feb 11 14:51:42 2012","","Legend","Feature Film","Ridley Scott","6.5","94","1985","adventure, fantasy, romance","40264","1985-08-28","http://www.imdb.com/title/tt0089469/"
"166","tt0082348","Sat Feb 11 14:51:55 2012","Sat Feb 11 14:51:55 2012","","Excalibur","Feature Film","John Boorman","7.4","140","1981","adventure, drama, fantasy","42640","1981-04-10","http://www.imdb.com/title/tt0082348/"
"167","tt0096438","Sat Feb 11 14:52:33 2012","Sat Feb 11 14:52:33 2012","","Who Framed Roger Rabbit","Feature Film","Robert Zemeckis","7.7","104","1988","animation, comedy, crime, family, fantasy","121110","1988-06-21","http://www.imdb.com/title/tt0096438/"
"168","tt0088814","Sat Feb 11 14:52:50 2012","Sat Feb 11 14:52:50 2012","","The Black Cauldron","Feature Film","Ted Berman, Richard Rich","6.4","80","1985","animation, adventure, family, fantasy","19202","1985-07-24","http://www.imdb.com/title/tt0088814/"
"169","tt0093148","Sat Feb 11 14:53:21 2012","Sat Feb 11 14:53:21 2012","","Harry and the Hendersons","Feature Film","William Dear","5.8","110","1987","comedy, family, fantasy","21348","1987-06-05","http://www.imdb.com/title/tt0093148/"
"170","tt0120804","Sat Feb 11 15:58:57 2012","Sat Feb 11 15:58:57 2012","","Resident Evil","Feature Film","Paul W.S. Anderson","6.7","100","2002","action, horror, sci_fi","179372","2002-03-12","http://www.imdb.com/title/tt0120804/"
"171","tt0318627","Sat Feb 11 15:59:07 2012","Sat Feb 11 15:59:07 2012","","Resident Evil: Apocalypse","Feature Film","Alexander Witt","6.2","94","2004","action, horror, sci_fi, thriller","136937","2004-09-10","http://www.imdb.com/title/tt0318627/"
"172","tt0432021","Sat Feb 11 15:59:24 2012","Sat Feb 11 15:59:24 2012","","Resident Evil: Extinction","Feature Film","Russell Mulcahy","6.3","94","2007","action, horror, sci_fi, thriller","135513","2007-09-20","http://www.imdb.com/title/tt0432021/"
"173","tt1220634","Sat Feb 11 15:59:38 2012","Sat Feb 11 15:59:38 2012","","Resident Evil: Afterlife","Feature Film","Paul W.S. Anderson","5.9","97","2010","action, adventure, horror, sci_fi","118484","2010-09-02","http://www.imdb.com/title/tt1220634/"
"174","tt1303828","Sat Feb 11 16:00:27 2012","Sat Feb 11 16:00:27 2012","","Defendor","Feature Film","Peter Stebbings","6.9","101","2009","comedy, crime, drama","29882","2009-09-12","http://www.imdb.com/title/tt1303828/"
"175","tt0093870","Sat Feb 11 16:00:39 2012","Sat Feb 11 16:00:39 2012","","RoboCop","Feature Film","Paul Verhoeven","7.5","102","1987","action, sci_fi","157605","1987-07-17","http://www.imdb.com/title/tt0093870/"
"176","tt0100502","Sat Feb 11 16:00:52 2012","Sat Feb 11 16:00:52 2012","","RoboCop 2","Feature Film","Irvin Kershner","5.7","117","1990","action, sci_fi","54398","1990-06-22","http://www.imdb.com/title/tt0100502/"
"177","tt0107978","Sat Feb 11 16:01:01 2012","Sat Feb 11 16:01:01 2012","","RoboCop 3","Feature Film","Fred Dekker","3.8","104","1993","action, crime, drama, sci_fi","30603","1993-05-01","http://www.imdb.com/title/tt0107978/"
"178","tt0080339","Sat Feb 11 18:17:55 2012","Sat Feb 11 18:17:55 2012","","Airplane!","Feature Film","Jim Abrahams, David Zucker","7.8","88","1980","comedy","140924","1980-07-02","http://www.imdb.com/title/tt0080339/"
"179","tt0083530","Sat Feb 11 18:18:12 2012","Sat Feb 11 18:18:12 2012","","Airplane II: The Sequel","Feature Film","Ken Finkleman","6.1","85","1982","comedy","31791","1982-12-10","http://www.imdb.com/title/tt0083530/"
"180","tt0087065","Sat Feb 11 18:18:27 2012","Sat Feb 11 18:18:27 2012","","Cloak & Dagger","Feature Film","Richard Franklin","6.5","101","1984","action, family, adventure, crime, thriller, mystery","4706","1984-07-13","http://www.imdb.com/title/tt0087065/"
